pitch,roll,yaw,time
49.41441,5.148551,19.48457,0.01878408
49.41441,5.148551,19.48457,0.03756816
49.41441,5.148551,19.48457,0.05756816
49.41441,5.148551,19.48457,0.06654385
49.41441,5.148551,19.48457,0.0846766
49.41441,5.148551,19.48457,0.1000899
54.81353,4.57784,19.48457,0.1187264
54.81353,4.57784,19.48457,0.1333024
54.81353,4.57784,19.48457,0.1506839
54.81353,4.57784,19.48457,0.1662052
54.81353,4.57784,19.48457,0.1846865
54.81353,4.57784,19.48457,0.1990692
59.99683,4.814272,19.48457,0.2177522
59.99683,4.814272,19.48457,0.2326759
59.99683,4.814272,19.48457,0.2516614
59.99683,4.814272,19.48457,0.2655899
59.99683,4.814272,19.48457,0.2850803
59.99683,4.814272,19.48457,0.300439
53.9929,3.779418,19.48457,0.3198325
53.9929,3.779418,19.48457,0.3333798
53.9929,3.779418,19.48457,0.3518454
53.9929,3.779418,19.48457,0.3665892
53.9929,3.779418,19.48457,0.3847424
53.9929,3.779418,19.48457,0.3998575
56.88632,2.897534,19.48457,0.418788
56.88632,2.897534,19.48457,0.4332606
56.88632,2.897534,19.48457,0.4507259
56.88632,2.897534,19.48457,0.4666176
56.88632,2.897534,19.48457,0.4847457
56.88632,2.897534,19.48457,0.4998647
56.88632,2.897534,19.48457,0.5177388
56.88632,2.897534,19.48457,0.5332732
59.03306,2.615028,19.48457,0.5527428
59.03306,2.615028,19.48457,0.5667754
59.03306,2.615028,19.48457,0.5847041
59.03306,2.615028,19.48457,0.5999741
59.03306,2.615028,19.48457,0.618757
61.27545,1.300022,19.48457,0.6329403
61.27545,1.300022,19.48457,0.6507203
61.27545,1.300022,19.48457,0.6664018
61.27545,1.300022,19.48457,0.6847071
61.27545,1.300022,19.48457,0.6998526
63.67836,-0.3549824,19.48457,0.7177075
63.67836,-0.3549824,19.48457,0.7336723
63.67836,-0.3549824,19.48457,0.7518519
63.67836,-0.3549824,19.48457,0.7660252
63.67836,-0.3549824,19.48457,0.7858514
64.96368,-1.822986,19.48457,0.8006679
64.96368,-1.822986,19.48457,0.8187415
64.96368,-1.822986,19.48457,0.8331131
64.96368,-1.822986,19.48457,0.85175
64.96368,-1.822986,19.48457,0.8664305
64.96368,-1.822986,19.48457,0.8837555
64.96368,-1.822986,19.48457,0.8995531
63.78695,-2.862389,19.48457,0.9187391
63.78695,-2.862389,19.48457,0.9334246
63.78695,-2.862389,19.48457,0.9517283
63.78695,-2.862389,19.48457,0.9660304
63.78695,-2.862389,19.48457,0.9857409
63.78695,-2.862389,19.48457,1.000718
60.07355,-2.469911,19.48457,1.018705
60.07355,-2.469911,19.48457,1.033336
60.07355,-2.469911,19.48457,1.050802
60.07355,-2.469911,19.48457,1.066783
60.07355,-2.469911,19.48457,1.084594
60.07355,-2.469911,19.48457,1.100508
57.20785,-2.299929,19.48457,1.118655
57.20785,-2.299929,19.48457,1.13274
57.20785,-2.299929,19.48457,1.151751
57.20785,-2.299929,19.48457,1.166712
57.20785,-2.299929,19.48457,1.184746
53.76728,-1.362943,19.48457,1.200701
53.76728,-1.362943,19.48457,1.218742
pitch,roll,yaw,time
98,0,-10.62328,0.01656838
98,0,-10.62328,0.03313676
98,0,-10.62328,0.05313675
98,0,-10.62328,0.07840626
98,0,-10.62328,0.1015834
98,0,-10.62328,0.1245129
98,0,-10.62328,0.1470884
98,0,-10.62328,0.1699428
98,0,-10.62328,0.1921616
98,0,-10.62328,0.2154048
98,0,-10.62328,0.2388122
98,0,-10.62328,0.2680952
98,0,-10.62328,0.2901877
98,0,-10.62328,0.3130172
98,0,-10.62328,0.337177
98,0,-10.62328,0.3595029
98,0,-10.62328,0.381487
98,0,-10.62328,0.4060124
98,0,-10.62328,0.4287418
98,0,-10.62328,0.4514167
98,0,-10.62328,0.4749107
98,0,-10.62328,0.4985073
98,0,-10.62328,0.5276626
98,0,-10.62328,0.5482041
98,0,-10.62328,0.5694671
98,0,-10.62328,0.590802
98,0,-10.62328,0.6111613
98,0,-10.62328,0.6326245
98,0,-10.62328,0.6542808
98,0,-10.62328,0.6750955
98,0,-10.62328,0.6963553
98,0,-10.62328,0.7169308
98,0,-10.62328,0.7391413
98,0,-10.62328,0.7633954
98,0,-10.62328,0.7845827
98,0,-10.62328,0.8052448
98,0,-10.62328,0.8273141
98,0,-10.62328,0.8481731
98,0,-10.62328,0.8693425
98,0,-10.62328,0.8908448
98,0,-10.62328,0.9118654
98,0,-10.62328,0.9329886
98,0,-10.62328,0.9549919
98,0,-10.62328,0.9761274
98,0,-10.62328,1.001781
98,0,-10.62328,1.023318
98,0,-10.62328,1.045155
98,0,-10.62328,1.066322
98,0,-10.62328,1.08911
98,0,-10.62328,1.110692
98,0,-10.62328,1.132381
98,0,-10.62328,1.154794
98,0,-10.62328,1.176519
98,0,-10.62328,1.199243
98,0,-10.62328,1.221967
98,0,-10.62328,1.248553
98,0,-10.62328,1.273556
98,0,-10.62328,1.297241
98,0,-10.62328,1.323769
98,0,-10.62328,1.347977
98,0,-10.62328,1.373405
98,0,-10.62328,1.398221
98,0,-10.62328,1.422857
98,0,-10.62328,1.44778
98,0,-10.62328,1.473753
98,0,-10.62328,1.499556
98,0,-10.62328,1.531437
98,0,-10.62328,1.557545
98,0,-10.62328,1.584673
98,0,-10.62328,1.609483
